year,country,ccode,mk_location_ever,mk_responsible_ever,mk_ongoing,widetargeting,narrowtargeting,candidaterestriction,partyban,judicialreform,religiousfreedom,freediscussion,ses_power_dist,pol_killing_approved,freemove_men4,freemove_women4,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,minorityrule,reg.eap,reg.afr,reg.eur,reg.mna,reg.sca,ios.iccpr1,elf.ethnic,countryage.ln,battledeaths.ln,includesnonstate,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,coup.try.5yr,tradeshare.ln.combined,womeninparliament,efindex,discrimpop,ldiscrimpop,v2cldmovem_ord,v2cldmovew_ord,v2clkill_ord,v2clsocgrp_ord,v2clrgunev_ord,v2csreprss_ord,v2pepwrsoc_ord,v2elrstrct,v2psparban_ord,v2psoppaut_ord,v2jureform_ord,v2clrelig_ord,v2xcl_disc,v2pepwrses_ord,v2pepwrses,e_mipopula,e_cow_exports,e_cow_imports,v2csgender_ord,v2pepwrgen_ord,popsize,popsize.ln,v2mecenefm_ord,partyban.new,v2csgender_binary,v2mecenefm_binary,e_migdppc,e_migdpgro,tradeshare,tradeshare.ln,gdppcgrowth,wdi.trade.new,wdi.gdppc.new,wdi.gdppcgrow.new,wdi.popsize.new,wdi.imrate.new,wdi.trade.ln.new,wdi.popsize.ln,popsize.combined,battledeaths,datastartyear,countryage,anymk.ever,anymk.ongoing
1960,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.49980967033027,0,0,18.0988332229382,,0.07,0,-3.72834693199721,0,0.086,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,72480.87,11381,10013,3,2,72480870,18.0988332229382,4,2,0,0,12282,0.07,0.0240325304258153,-3.72834693199721,0.07,,,,72814900,,,18.1034311625545,72480870,0,1934,89,0,0
1961,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.51085950651685,0,0,18.1061220286515,,0.03,0,-3.67188182316224,0,0.087,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,73011.099,12650,10882,3,2,73011099,18.1061220286515,4,2,0,0,12675,0.03,0.0254285728165423,-3.67188182316224,0.03,,,,73377632,,,18.1111297059973,73011099,0,1934,90,0,0
1962,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.52178857704904,0,0,18.113358091874,,0.03,0,-3.63322009541821,0,0.088,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,73541.328,13235,12240,3,2,73541328,18.113358091874,4,2,0,0,13106,0.03,0.0264309370908805,-3.63322009541821,0.03,,,,74025784,,,18.1199240229124,73541328,0,1934,91,0,0
1963,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.53259949315326,0,0,18.1205421704247,,0.02,0,-3.58221741362911,0,0.09,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,74071.557,14587,12952,3,2,74071557,18.1205421704247,4,2,0,0,13367,0.02,0.0278139547827226,-3.58221741362911,0.02,,,,74714353,,,18.1291827735471,74071557,0,1934,92,0,0
1964,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.54329478227,0,0,18.1276750059062,,0.05,0,-3.52776880264253,0,0.091,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,74601.786,16176,14635,3,2,74601786,18.1276750059062,4,2,0,0,14062,0.05,0.0293703739156413,-3.52776880264253,0.05,,,,75318337,,,18.1372341823804,74601786,0,1934,93,0,0
1965,Germany,255,0,0,0,0,0,1,4,1,4,0.905,1.643,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.55387689160054,0,0,18.134757324164,,0.04,0,-3.43662681695064,0,0.093,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,1.643,75132.015,17857,17536,3,2,75132015,18.134757324164,4,2,0,0,14642,0.04,0.0321730280080076,-3.43662681695064,0.04,,,,75963695,,,18.1457660867485,75132015,0,1934,94,0,0
1966,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.05,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.56434819146784,0,0,18.1417898357301,,0.02,0,-3.38642448010739,0,0.094,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,2.05,75662.244,20147,18155,3,2,75662244,18.1417898357301,4,2,0,0,14964,0.02,0.0338294186730533,-3.38642448010739,0.02,,,,76600311,,,18.1541116947548,75662244,0,1934,95,0,0
1967,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.05,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.57471097850338,0,0,18.1487732362503,,0,0,-3.36896731699504,0,0.096,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,2.05,76192.473,21752,17537,3,2,76192473,18.1487732362503,4,2,0,0,14979,0,0.0344251692809605,-3.36896731699504,0,,,,76951336,,,18.1586837800218,76192473,0,1934,96,0,0
1968,Germany,255,0,0,0,0,0,1,4,1,4,0.905,2.05,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.58496747867057,0,0,18.1557082068974,4.83735464897913,0.05,0,-3.28462347998622,0,0.097,0,0,4,4,4,4,2,4,3,1,4,4,1,4,0.905,3,2.05,76722.702,24885,20297,4,2,76722702,18.1557082068974,4,2,0,0,15723,0.05,0.0374546848772815,-3.28462347998622,0.05,,,,77294314,23.4,,18.1631309532842,76722702,0,1934,97,0,0
1969,Germany,255,0,0,0,0,0,1,4,2,4,0.905,2.05,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.59511985013459,0,0,18.1625954147699,4.76445169982864,0.06,0,-3.16586765639899,0,0.099,0,0,4,4,4,4,2,4,4,1,4,4,2,4,0.905,3,2.05,77252.931,29114,25108,4,2,77252931,18.1625954147699,4,2,0,0,16641,0.06,0.0421775303292249,-3.16586765639899,0.06,,,,77909682,22.7,,18.1710607906661,77252931,0,1934,98,0,0
