year,country,ccode,mk_location_ever,mk_responsible_ever,mk_ongoing,widetargeting,narrowtargeting,candidaterestriction,partyban,judicialreform,religiousfreedom,freediscussion,ses_power_dist,pol_killing_approved,freemove_men4,freemove_women4,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,minorityrule,reg.eap,reg.afr,reg.eur,reg.mna,reg.sca,ios.iccpr1,elf.ethnic,countryage.ln,battledeaths.ln,includesnonstate,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,coup.try.5yr,tradeshare.ln.combined,womeninparliament,efindex,discrimpop,ldiscrimpop,v2cldmovem_ord,v2cldmovew_ord,v2clkill_ord,v2clsocgrp_ord,v2clrgunev_ord,v2csreprss_ord,v2pepwrsoc_ord,v2elrstrct,v2psparban_ord,v2psoppaut_ord,v2jureform_ord,v2clrelig_ord,v2xcl_disc,v2pepwrses_ord,v2pepwrses,e_mipopula,e_cow_exports,e_cow_imports,v2csgender_ord,v2pepwrgen_ord,popsize,popsize.ln,v2mecenefm_ord,partyban.new,v2csgender_binary,v2mecenefm_binary,e_migdppc,e_migdpgro,tradeshare,tradeshare.ln,gdppcgrowth,wdi.trade.new,wdi.gdppc.new,wdi.gdppcgrow.new,wdi.popsize.new,wdi.imrate.new,wdi.trade.ln.new,wdi.popsize.ln,popsize.combined,battledeaths,datastartyear,countryage,anymk.ever,anymk.ongoing
1984,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.7361984483945,0,0,18.181546215764,3.13049516849971,0.03,0,-1.74281037063029,0,0.124,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,78730.896,171711.7,153002.5,4,2,78730896,18.181546215764,4,2,0,0,23564,0.03,0.175027815735338,-1.74281037063029,0.03,46.2426559117963,24991.3336835112,2.82294780997955,77858685,9.8,3.8339026602535,18.1704060107155,78730896,0,1934,113,0,0
1985,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.74493212836325,0,0,18.1829201954411,3.03315017762062,0.02,0,-1.71504582315866,0,0.126,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,78839.145,183902.7,158485.1,4,2,78839145,18.1829201954411,4,2,0,0,24133,0.02,0.179955474395922,-1.71504582315866,0.02,47.9153501709494,25630.3329976336,2.32793526226367,77684873,9.2,3.86943591593868,18.1681711116997,78839145,0,1934,114,0,0
1986,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.75359019110636,0,0,18.1842922898881,2.94957624075053,0.02,0,-1.49995299909511,0,0.128,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,78947.394,243301.6,191065.3,4,2,78947394,18.1842922898881,4,2,0,0,24657,0.02,0.223140647714327,-1.49995299909511,0.02,42.9446314642645,26204.5895785314,2.28733922127036,77720436,8.7,3.75991164560643,18.1686287923394,78947394,0,1934,115,0,0
1987,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.76217393479776,0,0,18.1856625042712,2.88097205817759,0.02,0,-1.33153177516231,0,0.13,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,79055.643,294138.1,228336,4,2,79055643,18.1856625042712,4,2,0,0,25027,0.02,0.264072451717752,-1.33153177516231,0.02,41.6894700598024,26531.229705288,1.40215162742055,77839920,8.3,3.73024858036558,18.1701649680923,79055643,0,1934,116,0,0
1988,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.77068462446567,0,0,18.1870308437356,2.79284800875379,0.03,0,-1.26786645180472,0,0.132,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,79163.892,323336.3,250553.8,4,2,79163892,18.1870308437356,4,2,0,0,25759,0.03,0.281431429209707,-1.26786645180472,0.03,42.5265238948391,27407.5200661963,3.70723565949591,78144619,7.8,3.75012797290944,18.1740717576947,79163892,0,1934,117,0,0
1989,Germany,255,0,0,0,0,0,1,4,1,4,0.948,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.77912349311153,0,1,18.1883973134053,2.72029410174709,0.02,0,-1.23084490057247,0,0.134,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.948,3,1.723,79272.141,341360.389,269666.324,4,2,79272141,18.1883973134053,4,2,0,0,26393,0.02,0.29204572381282,-1.23084490057247,0.02,45.2159180692242,28256.1062209731,3.89655169214447,78751283,7.4,3.8114491945141,18.1818051276008,79272141,0,1934,118,0,0
1990,Germany,255,0,0,0,0,0,1,4,1,4,0.976,1.723,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.168,4.78749174278205,0,1,18.1897619183835,2.64575131106459,-0.04,0,-0.981009898408385,0,0.136,0,0,4,4,4,4,2,4,4,1,4,4,1,4,0.976,3,1.723,79380.39,409229.69,346464.091,4,3,79380390,18.1897619183835,4,2,0,0,25391,-0.04,0.374932264094527,-0.981009898408385,-0.04,45.8635875773293,29485.7099744881,5.25500608278011,79433029,7,3.8256715032695,18.1904248220884,79380390,0,1934,119,0,0
1937,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.6082528773702,,0.06,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6005.9,,,4,0,6005900,15.6082528773702,3,2,0,0,1988,0.06,,,0.06,,,,,,,,6005900,0,1948,,,
1938,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.6153373982701,,-0.02,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6048.6,,,4,0,6048600,15.6153373982701,3,2,0,0,1953,-0.02,,,-0.02,,,,,,,,6048600,0,1948,,,
1939,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.622372081602,,-0.03,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6091.3,,,4,0,6091300,15.622372081602,3,2,0,0,1890,-0.03,,,-0.03,,,,,,,,6091300,0,1948,,,
1940,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.6293576236563,,0.06,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6134,,,4,0,6134000,15.6293576236563,3,2,0,0,1994,0.06,,,0.06,,,,,,,,6134000,0,1948,,,
1941,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.6519103227143,,0.02,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6273.91,,,4,0,6273910,15.6519103227143,3,2,0,0,2036,0.02,,,0.02,,,,,,,,6273910,0,1948,,,
1942,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.6739654393173,,0.04,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6413.819,,,4,0,6413819,15.6739654393173,3,2,0,0,2109,0.04,,,0.04,,,,,,,,6413819,0,1948,,,
1943,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.6955447585914,,-0.03,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6553.729,,,4,0,6553729,15.6955447585914,3,2,0,0,2047,-0.03,,,-0.03,,,,,,,,6553729,0,1948,,,
1944,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.7166682304077,,-0.1,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6693.639,,,4,0,6693639,15.7166682304077,3,2,0,0,1839,-0.1,,,-0.1,,,,,,,,6693639,0,1948,,,
1945,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.7373545695812,,-0.03,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6833.548,,,4,0,6833548,15.7373545695812,3,2,0,0,1779,-0.03,,,-0.03,,,,,,,,6833548,0,1948,,,
1946,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.7576217859621,,-0.06,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,6973.458,,,4,0,6973458,15.7576217859621,3,2,0,0,1674,-0.06,,,-0.06,,,,,,,,6973458,0,1948,,,
1947,Sri Lanka (Ceylon),780,,,,,,1,4,1,4,0.817,-1.818,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0.415,,0,0,15.7774863886349,,0.02,,,,,,,4,3,4,3,2,3,1,1,4,3,1,4,0.817,0,-1.818,7113.368,,,4,0,7113368,15.7774863886349,3,2,0,0,1710,0.02,,,0.02,,,,,,,,7113368,0,1948,,,
1948,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,4,0.874,-1.541,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.415,0,0,0,15.7969640625783,,0.08,0,-3.10951523496347,0,0.478,0.12,0.12121212,4,3,4,3,1,4,1,1,4,4,1,4,0.874,0,-1.541,7253.278,300.5,297.3,4,0,7253278,15.7969640625783,3,2,0,0,1847,0.08,0.0446225815654149,-3.10951523496347,0.08,,,,,,,,7253278,0,1948,0,0,0
1949,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,4,0.874,-1.541,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.415,0.693147180559945,0,0,15.8160694584166,,0.03,0,-3.20383423308473,0,0.476,0.12,0.12121212,4,3,4,2,1,4,1,1,4,4,1,4,0.874,0,-1.541,7393.187,288.6,285.1,4,0,7393187,15.8160694584166,3,2,0,0,1911,0.03,0.0406062114342609,-3.20383423308473,0.03,,,,,,,,7393187,0,1948,1,0,0
1950,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,4,0.874,-1.541,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.415,1.09861228866811,0,0,15.8348168034009,,0.05,0,-3.28684992038,0,0.474,0.12,0.12121212,4,3,4,2,1,4,1,1,4,4,1,4,0.874,0,-1.541,7533.097,323.1,239.1,4,0,7533097,15.8348168034009,3,2,0,0,1997,0.05,0.0373713870172039,-3.28684992038,0.05,,,,,,,,7533097,0,1948,2,0,0
1951,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,4,0.874,-1.541,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.415,1.38629436111989,0,0,15.8659206095991,,0.03,0,-3.10655977086451,0,0.472,0.12,0.12121212,4,3,4,2,1,4,1,1,4,4,1,4,0.874,0,-1.541,7771.087,394.6,322.2,4,0,7771087,15.8659206095991,3,2,0,0,2061,0.03,0.0447546570793165,-3.10655977086451,0.03,,,,,,,,7771087,0,1948,3,0,0
1952,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,4,0.874,-0.773,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.415,1.6094379124341,0,0,15.896086206302,,0.02,0,-3.23711672142084,6.7,0.47,0.12,0.12121212,4,3,4,2,1,4,2,1,4,4,1,4,0.874,1,-0.773,8009.078,310.7,347.7,4,1,8009078,15.896086206302,3,2,0,0,2093,0.02,0.039276978465886,-3.23711672142084,0.02,,,,,,,,8009078,0,1948,4,0,0
1953,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,4,0.874,-0.773,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.415,1.79175946922806,0,0,15.9253683012041,,-0.01,0,-3.26100936900014,6.7,0.467,0.12,0.12121212,4,3,4,2,1,4,2,1,4,4,1,4,0.874,1,-0.773,8247.068,325.1,329.9,4,1,8247068,15.9253683012041,3,2,0,0,2071,-0.01,0.0383496695075951,-3.26100936900014,-0.01,,,,,,,,8247068,0,1948,5,0,0
1954,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,4,0.874,-0.773,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.415,1.94591014905531,0,0,15.9538172922193,,0,0,-3.26873642421916,6.7,0.465,0.12,0.12121212,4,3,4,2,1,4,2,1,4,4,1,4,0.874,1,-0.773,8485.058,377.8,289.3,4,1,8485058,15.9538172922193,3,2,0,0,2066,0,0.0380544814297082,-3.26873642421916,0,,,,,,,,8485058,0,1948,6,0,0
1955,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,4,0.874,-0.773,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.415,2.07944154167984,0,0,15.9814792760942,,0.03,0,-3.2704168667343,6.7,0.463,0.12,0.12121212,4,3,4,2,1,4,2,1,4,4,1,4,0.874,1,-0.773,8723.048,404.9,301.3,4,1,8723048,15.9814792760942,3,2,0,0,2131,0.03,0.0379905867619163,-3.2704168667343,0.03,,,,,,,,8723048,0,1948,7,0,0
1956,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.164,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.415,2.19722457733622,0,0,16.0083967380497,,-0.02,0,-3.28663227910238,3.3,0.46,0.29,0.2929293,4,3,4,2,1,3,2,1,4,4,1,3,0.865,2,0.164,8961.039,362.2,338.2,4,1,8961039,16.0083967380497,3,2,0,0,2091,-0.02,0.0373795214587835,-3.28663227910238,-0.02,,,,,,,,8961039,0,1948,8,0,0
1957,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.415,2.30258509299405,0,0,16.0346084929709,,-0.01,0,-3.2737002826783,3.3,0.458,0.29,0.2929293,4,3,4,2,1,3,2,1,4,4,1,3,0.865,2,0.446,9199.029,351.4,368.6,4,1,9199029,16.0346084929709,3,2,0,0,2067,-0.01,0.0378660524245168,-3.2737002826783,-0.01,,,,,,,,9199029,0,1948,9,0,0
1958,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.415,2.39789527279837,0,0,16.0601507043531,,0,0,-3.309172500064,3.3,0.456,0.29,0.2929293,4,3,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,9437.019,357.8,357.5,4,1,9437019,16.0601507043531,3,2,0,0,2074,0,0.0365464033909709,-3.309172500064,0,,,,,,,,9437019,0,1948,10,0,0
1959,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.484906649788,0,0,16.0850568304713,,-0.01,0,-3.24946448231135,3.3,0.453,0.29,0.2929293,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,9675.01,350.3,418.4,4,1,9675010,16.0850568304713,3,2,0,0,2048,-0.01,0.0387949776666898,-3.24946448231135,-0.01,,,,,,,,9675010,0,1948,11,0,0
1960,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.56494935746154,0,0,16.109357585015,8.2522724143111,0.01,0,-3.26516097103124,10,0.451,0.29,0.2929293,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,9913,372.6,408.8,4,2,9913000,16.109357585015,3,2,0,0,2064,0.01,0.0381907869784959,-3.26516097103124,0.01,62.8658933094919,,,9783871,68.1,4.14100377990985,16.0962457714707,9913000,0,1948,12,0,0
1961,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.63905732961526,0,0,16.1362891411503,8.08702664766229,-0.01,0,-3.38491875127652,10,0.448,0.29,0.2929293,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,10183.6,353,354.3,4,2,10183600,16.1362891411503,3,2,0,0,2050,-0.01,0.0338803949726916,-3.38491875127652,-0.01,56.0229732203636,651.563646598046,,10022888,65.4,4.02576184268926,16.1203818356455,10183600,0,1948,13,0,0
1962,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.70805020110221,0,0,16.1625143695049,7.97496081495075,0.01,0,-3.40466639250893,10,0.446,0.29,0.2929293,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,10454.2,370.6,347.2,4,2,10454200,16.1625143695049,3,2,0,0,2067,0.01,0.0332178999739893,-3.40466639250893,0.01,56.9939692568149,660.352865151551,3.81801955804475,10267067,63.6,4.04294545972505,16.144451952022,10454200,0,1948,14,0,0
1963,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.77258872223978,0,0,16.1880693745858,7.89303490426845,0,0,-3.48763238234374,10,0.444,0.29,0.2929293,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,10724.8,358.2,316.6,4,2,10724800,16.1880693745858,3,2,0,0,2058,0,0.0305731721302574,-3.48763238234374,0,53.249379218369,660.850899673199,2.51674859426939,10517531,62.3,3.97498614665058,16.168554041911,10724800,0,1948,15,0,0
1964,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.83321334405622,0,0,16.2129875614821,7.81664889834512,0.02,0,-3.36922216680917,10,0.441,0.17,0.17171717,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,10995.4,384.3,411.9,4,2,10995400,16.2129875614821,3,2,0,0,2104,0.02,0.034416397150803,-3.36922216680917,0.02,51.3372618170153,670.315540633013,3.90643383679523,10774086,61.1,3.93841683972023,16.1926543643701,10995400,0,1948,16,0,0
1965,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.89037175789616,0,0,16.2372998984368,7.72657750883274,0.01,0,-3.50661606830195,3.3,0.439,0.17,0.17171717,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,11266,408.1,307.7,4,2,11266000,16.2372998984368,3,2,0,0,2118,0.01,0.029998254921298,-3.50661606830195,0.01,51.3978228599703,671.056338511222,2.53695353571972,11035224,59.7,3.93959581475413,16.2166028965154,11266000,0,1948,17,0,0
1966,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.94443897916644,0,0,16.26103514825,7.6223356000638,-0.03,0,-3.41344292280082,3.3,0.436,0.17,0.17171717,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,11536.6,351.7,425.9,4,2,11536600,16.26103514825,3,2,0,0,2047,-0.03,0.0329276376797225,-3.41344292280082,-0.03,48.2187837351565,688.271996427969,5.02378943837397,11299721,58.1,3.87574864919054,16.2402885931123,11536600,0,1948,18,0,0
1967,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,2.99573227355399,0,0,16.2842200728497,7.50999334220744,0.07,0,-3.6101804878672,3.3,0.434,0.17,0.17171717,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,11807.2,336.8,359.7,4,2,11807200,16.2842200728497,3,2,0,0,2181,0.07,0.027046964776798,-3.6101804878672,0.07,43.7645236250968,715.414127171908,6.43902442036845,11571008,56.4,3.77882352628789,16.2640132172419,11807200,0,1948,19,0,0
1968,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,3.04452243772342,0,0,16.3068796146799,7.40945342113708,0.05,0,-3.68261941099453,3.3,0.431,0.17,0.17171717,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,12077.8,331.2,364.9,4,2,12077800,16.3068796146799,3,2,0,0,2291,0.05,0.0251569919534994,-3.68261941099453,0.05,44.2101334325434,739.294130510686,5.80109416634996,11846815,54.9,3.78895402598658,16.2875696130473,12077800,0,1948,20,0,0
1969,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.865,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,3.09104245335832,0,0,16.3290370579895,7.3348483283569,0.02,0,-3.65525516942423,3.3,0.429,0.17,0.17171717,4,4,3,2,1,3,2,1,4,4,1,3,0.865,2,0.446,12348.4,315.37,428.202,4,2,12348400,16.3290370579895,3,2,0,0,2329,0.02,0.0258548992616111,-3.65525516942423,0.02,43.0098332620778,778.445448547751,7.71681966188542,12119207,53.8,3.7614287700636,16.310302107422,12348400,0,1948,21,0,0
1970,Sri Lanka (Ceylon),780,0,0,0,0,0,1,4,1,3,0.713,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,3.13549421592915,0,0,16.350714172635,7.28010988928052,0.03,0,-3.7289153058606,0,0.426,0.17,0.17171717,4,4,3,2,1,3,2,1,4,4,1,3,0.713,2,0.446,12619,335.216,388.876,4,2,12619000,16.350714172635,3,2,0,0,2389,0.03,0.0240188748447555,-3.7289153058606,0.03,54.0544496487119,790.799960345665,3.8466298565901,12388769,53,3.98999186537225,16.3323008943514,12619000,0,1948,22,0,0
1971,Sri Lanka (Ceylon),780,1,1,1,1,0,1,4,1,3,0.684,0.446,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.415,3.17805383034795,0,0,16.3698422080803,7.23878442834154,-0.03,0,-3.82109199723514,0,0.423,0.17,0.17171717,4,4,2,2,1,3,2,1,4,4,1,3,0.684,2,0.446,12862.7,324.16,330.047,4,2,12862700,16.3698422080803,3,2,0,0,2322,-0.03,0.0219038688655451,-3.82109199723514,-0.03,51.2241992882562,784.302629341524,1.30690539655231,12654651,52.4,3.936212062734,16.3535353735487,12862700,0,1948,23,1,1
1965,Zimbabwe (Rhodesia),552,0,0,0,0,0,1,2,0,4,0.023,-0.403,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0.387,0,0,0,15.3486650876,9.03327183250897,0.03,0,-2.20371434842797,0,0.385,0.97,0.97,2,1,0,0,2,3,0,1,2,3,0,4,0.023,1,-0.403,4632.768,435.5,366.41,2,0,4632768,15.3486650876,0,1,1,1,1568,0.03,0.110392360221265,-2.20371434842797,0.03,,1157.20740089049,4.91057058723419,4447149,81.6,,15.3077737746657,4632768,0,1965,0,0,0
1966,Zimbabwe (Rhodesia),552,0,0,0,0,0,1,2,0,4,0.023,-0.403,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0.387,0.693147180559945,0,0,15.3860250890376,8.9162772500635,-0.02,0,-3.2250523129334,0,0.383,0.97,0.97,2,1,0,0,2,2,0,1,2,3,0,4,0.023,1,-0.403,4809.122,196.629,97.98,2,0,4809122,15.3860250890376,0,1,1,1,1541,-0.02,0.0397537018890653,-3.2250523129334,-0.02,,1138.63466400451,1.52313002676185,4588529,79.5,,15.3390700513694,4809122,0,1965,1,0,0
1967,Zimbabwe (Rhodesia),552,0,0,0,0,0,1,2,0,4,0.023,-0.403,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0.387,1.09861228866811,0,0,15.4220392426962,8.81476034841561,0.05,0,-2.73017356961269,0,0.381,0.97,0.97,2,1,0,0,2,2,0,1,2,3,0,4,0.023,1,-0.403,4985.475,264,262,2,0,4985475,15.4220392426962,0,1,1,1,1618,0.05,0.0652079705636345,-2.73017356961269,0.05,,1195.81239934246,8.36700892882493,4734694,77.7,,15.370427657382,4985475,0,1965,2,0,0
1968,Zimbabwe (Rhodesia),552,0,0,0,0,0,1,2,0,4,0.023,-0.403,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0.387,1.38629436111989,0,0,15.4568015320169,8.71779788708135,-0.02,0,-2.70958853803499,0,0.379,0.97,0.97,2,1,0,0,2,2,0,1,2,3,0,4,0.023,1,-0.403,5161.829,257,290,2,0,5161829,15.4568015320169,0,1,1,1,1592,-0.02,0.0665641897133982,-2.70958853803499,-0.02,,1181.52701969425,1.97013496933123,4886347,76,,15.4019555475167,5161829,0,1965,3,0,0
1969,Zimbabwe (Rhodesia),552,0,0,0,0,0,1,2,0,4,0.023,-0.403,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0.387,1.6094379124341,0,0,15.4903957035321,8.64291617453276,0.09,0,-2.73942258735144,0,0.376,0.97,0.97,2,1,0,0,1,2,0,1,2,3,0,4,0.023,1,-0.403,5338.182,318,279,2,0,5338182,15.4903957035321,0,1,1,1,1731,0.09,0.0646076413943086,-2.73942258735144,0.09,,1286.80946413388,12.4282358360867,5044163,74.7,,15.4337422911673,5338182,0,1965,4,0,0
1970,Zimbabwe (Rhodesia),552,0,0,0,0,0,1,2,0,4,0.023,-0.403,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0.387,1.79175946922806,0,0,15.5228980729508,8.59069263796581,0.18,0,-2.78421244946968,0,0.374,0.97,0.97,2,1,0,0,1,2,0,1,2,3,0,4,0.023,1,-0.403,5514.536,367,329,2,0,5514536,15.5228980729508,0,1,1,1,2043,0.18,0.0617777229560844,-2.78421244946968,0.18,,1529.05596478972,22.5651508386179,5202918,73.8,,15.4647301800099,5514536,0,1965,5,0,0
1971,Zimbabwe (Rhodesia),552,0,0,0,0,0,1,2,0,4,0.023,-0.403,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0.387,1.94591014905531,0,0,15.5524756990513,8.54985379991962,0.06,0,-2.7503060914854,0,0.372,0.97,0.97,2,1,0,0,1,2,0,1,2,3,0,4,0.023,1,-0.403,5680.079,388,395,2,0,5680079,15.5524756990513,0,1,1,1,2157,0.06,0.0639082964271716,-2.7503060914854,0.06,,1615.57201739023,8.91758664235272,5363423,73.1,,15.4951129486194,5680079,0,1965,6,0,0
1972,Zimbabwe (Rhodesia),552,1,1,1,1,0,1,2,0,4,0.023,-0.403,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0.387,2.07944154167984,0,0,15.5812035629665,8.52056336165632,0.05,0,-2.67233030517574,0,0.37,0.97,0.97,2,1,0,0,1,2,0,1,2,3,0,4,0.023,1,-0.403,5845.622,499,417,2,0,5845622,15.5812035629665,0,1,1,1,2268,0.05,0.0690910343752534,-2.67233030517574,0.05,,1696.55500244643,8.32977472738663,5532842,72.6,,15.5262121655354,5845622,0,1965,7,1,1
1973,Zimbabwe (Rhodesia),552,1,1,1,1,0,1,2,0,4,0.023,-0.403,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0.387,2.19722457733622,0,0,15.6091292976772,8.50881895447306,0.01,0,-2.44263796414485,0,0.368,0.97,0.97,2,1,0,0,1,2,0,1,2,3,0,4,0.023,1,-0.403,6011.166,652,541,2,0,6011166,15.6091292976772,0,1,1,1,2283,0.01,0.0869312272643498,-2.44263796414485,0.01,,1685.93644678006,2.60471469719272,5712712,72.4,,15.5582044250934,6011166,0,1965,8,1,1
