"","country","risk_1or2.from2022","risk_rank.from2022","risk_1or2.alt","risk_rank.alt","risk_1or2.noprev","risk_rank.noprev"
"64","Nicaragua",0.0062,64,0.0059,70,0.0063,63
"65","Lebanon",0.0053,65,0.0068,65,0.0053,65
"66","Argentina",0.0052,66,0.0061,69,0.0052,66
"67","Peru",0.005,67,0.0062,68,0.005,67
"68","Sri Lanka (Ceylon)",0.0049,68,0.007,64,0.0049,68
"69","Brazil",0.0048,69,0.0064,67,0.0048,69
"70","Bhutan",0.0048,70,0.0052,74,0.0048,70
"71","Eritrea",0.0044,71,0.0051,75,0.0044,71
"72","Venezuela",0.0043,72,0.0057,73,0.0043,72
"73","El Salvador",0.004,73,0.0058,71,0.004,74
"74","United States of America",0.004,74,0.005,76,0.004,73
"75","Kyrgyz Republic",0.0038,75,0.0048,77,0.0038,75
"76","Korea, People's Republic of",0.0033,76,0.0058,72,0.0033,76
"77","Uzbekistan",0.0031,77,0.0045,79,0.0032,77
"78","Ukraine",0.0031,78,0.0031,96,0.0031,78
"79","Bosnia-Herzegovina",0.0031,79,0.003,99,0.0031,79
"80","Bulgaria",0.003,80,0.0029,101,0.003,82
"81","Mexico",0.003,81,0.0042,80,0.003,80
"82","United Arab Emirates",0.003,82,0.004,83,0.003,81
"83","Georgia",0.003,83,0.0032,94,0.003,83
"84","Mauritius",0.0029,84,0.0038,84,0.003,85
"85","Korea, Republic of",0.0029,85,0.0045,78,0.003,84
"86","South Sudan",0.0029,86,0.0064,66,0.0029,86
"87","Comoros",0.0028,87,0.0037,85,0.0029,87
"88","Fiji",0.0028,88,0.0041,81,0.0028,88
"89","Kuwait",0.0026,89,0.0032,95,0.0026,89
"90","Rumania",0.0026,90,0.003,97,0.0026,92
"91","Guatemala",0.0026,91,0.0041,82,0.0026,90
"92","Bahrain",0.0026,92,0.003,98,0.0026,91
"93","Canada",0.0024,93,0.0028,103,0.0024,93
"94","Namibia",0.0024,94,0.0034,89,0.0024,94
"95","Djibouti",0.0023,95,0.0034,88,0.0023,95
"96","Israel",0.0023,96,0.0034,90,0.0023,96
"97","Ghana",0.0022,97,0.0035,87,0.0022,97
"98","Benin",0.0022,98,0.0037,86,0.0022,98
"99","Poland",0.002,99,0.0024,108,0.002,99
"100","Ecuador",0.0019,100,0.0029,100,0.0019,100
"101","Honduras",0.0019,101,0.0032,93,0.0019,101
"102","Paraguay",0.0019,102,0.0033,91,0.0019,102
"103","Cyprus",0.0018,103,0.0018,119,0.0018,103
"104","Saudi Arabia",0.0018,104,0.0033,92,0.0018,104
"105","Hungary",0.0017,105,0.0024,107,0.0017,105
"106","Yugoslavia",0.0016,106,0.0022,111,0.0016,107
"107","Panama",0.0016,107,0.0025,105,0.0016,106
